code;name;categoryText;categoryText2;categoryText3;categoryText4;purchasePrice;includingVat;variantVisibility;
"101064_18";"Drive Z Lite";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;;;;"2145,00";"1";"1";
"101064_36";"Drive Z Lite";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;;;;"2145,00";"1";"1";
"101101_18";"AeroPro Drive GT 2013";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;Pro's Equipment > Rafael Nadal;;;"2599,00";"1";"1";
"101101_19";"AeroPro Drive GT 2013";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;Pro's Equipment > Rafael Nadal;;;"2599,00";"1";"1";
"101107_18";"Pure Drive GT";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;Výprodej!!! > Výprodej tenisových raket;;;"2245,00";"1";"1";
"101107_19";"Pure Drive GT";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;Výprodej!!! > Výprodej tenisových raket;;;"2245,00";"1";"1";
"121063_18";"E - Sence COMP";Tenisové rakety > Rekreaèní tenisové rakety > Tenisové rakety Babolat - rekreaèní;;;;"1295,00";"1";"1";
"121063_19";"E - Sence COMP";Tenisové rakety > Rekreaèní tenisové rakety > Tenisové rakety Babolat - rekreaèní;;;;"1295,00";"1";"1";
"140054";"Ball Fighter 125";Tenisové rakety > Dìtské tenisové rakety;;;;"395,00";"1";"1";
"140055";"Ball Fighter 110";Tenisové rakety > Dìtské tenisové rakety;;;;"370,00";"1";"1";
"140056";"Ball Fighter 100";Tenisové rakety > Dìtské tenisové rakety;;;;"345,00";"1";"1";
"140079";"Pure Nadal Junior 25";Tenisové rakety > Juniorské tenisové rakety > Tenisové rakety Babolat - juniorské;;;;"695,00";"1";"1";
"140093";"B'FLY 100";Tenisové rakety > Dìtské tenisové rakety;;;;"345,00";"1";"1";
"140094";"B'FLY 110";Tenisové rakety > Dìtské tenisové rakety;;;;"370,00";"1";"1";
"140095";"B'FLY 125";Tenisové rakety > Dìtské tenisové rakety;;;;"320,00";"1";"1";
"501013";"MID dìtské , 7 - 9 let";Tenisové míèe;;;;"85,00";"1";"1";
"501014_88";"KID dìtské , 3 - 7 let";Tenisové míèe;;;;"85,00";"1";"1";
"513002_180";"KID dìtské,  3 - 7 let, kbelík";Tenisové míèe;;;;"1095,00";"1";"1";
"516001_90";"B BALL ZIPPER plastový pytel";Tenisové míèe;;;;"695,00";"1";"1";
"651004";"Contact Grip";Badminton;;;;"70,00";"1";"1";
"652001";"Towel Grip X2";Badminton;;;;"70,00";"1";"1";
"710006";"Lead Tape X1";Doplòky;;;;"120,00";"1";"1";
"900108";"OBAL NA ZÁVODNÍ RAKETY";Doplòky;;;;"87,50";"1";"1";
"1322529242_19";"BABOLAT FIRST RED";Badminton;Výprodej!!! > Ostatní zboží;;;"290,00";"1";"1";
"101065/2_18";"Drive Z Tour";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;;;;"2050,00";"1";"1";
"101065/2_19";"Drive Z Tour";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;;;;"2050,00";"1";"1";
"101105/2_18";"AeroPro Team GT";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;;;;"2695,00";"1";"1";
"101109/3_19";"Pure Drive Roddick GT";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;Výprodej!!! > Výprodej tenisových raket;;;"2395,00";"1";"1";
"101112/2_18";"Pure Drive Lite";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;;;;"2245,00";"1";"1";
"101135/2_18";"Pure Storm Team";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Babolat - závodní;;;;"2245,00";"1";"1";
"121061/2_18";"Contact Tour";Tenisové rakety > Rekreaèní tenisové rakety > Tenisové rakety Babolat - rekreaèní;;;;"745,00";"1";"1";
"121062/2_18";"Contact Team";Tenisové rakety > Rekreaèní tenisové rakety > Tenisové rakety Babolat - rekreaèní;;;;"745,00";"1";"1";
"140063/1_36";"Pure Drive Roddick Junior";Tenisové rakety > Juniorské tenisové rakety > Tenisové rakety Babolat - juniorské;;;;"1145,00";"1";"1";
"140072/1_36";"AeroPro Drive Junior";Tenisové rakety > Juniorské tenisové rakety > Tenisové rakety Babolat - juniorské;;;;"1295,00";"1";"1";
"18XT1130";"Míèe Wilson AUSTRALIAN OPEN (18x dóza 4 ks)";Tenisové míèe;;;;"99,00";"1";"1";
"18XT1197";"18x Míèe Wilson US OPEN (18x dóza 4 ks)";Tenisové míèe;;;;"99,00";"1";"1";
"2010/10115_19";"YouTek Speed MP 16/19";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Head - závodní;;;;"3520,80";"1";"1";
"2011/10113_19";"IG Speed MP 300";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Head - závodní;;;;"3448,80";"1";"1";
"2011/10115_18";"IG Speed Lite";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Head - závodní;;;;"2944,80";"1";"1";
"2011/10115_19";"IG Speed Lite";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Head - závodní;;;;"2944,80";"1";"1";
"2011/10117_19";"YouTek Radical MP";Tenisové rakety > Závodní tenisové rakety > Tenisové rakety Head - závodní;;;;"3448,80";"1";"1";
"2011/10159_36";"IG Speed Tour Jr.";Tenisové rakety > Juniorské tenisové rakety > Tenisové rakety Head - juniorské;;;;"1648,80";"1";"1";
"2011/10160_36";"YouTek Radical Jr.";Tenisové rakety > Juniorské tenisové rakety > Tenisové rakety Head - juniorské;;;;"1576,80";"1";"1";
"2011/10162";"Speed 25";Tenisové rakety > Dìtské tenisové rakety;;;;"640,80";"1";"1";
"2011/10163";"Speed 23";Tenisové rakety > Dìtské tenisové rakety;;;;"568,80";"1";"1";
"2011/10165";"Radical 25";Tenisové rakety > Dìtské tenisové rakety;;;;"496,80";"1";"1";
"2011/10166";"Radical 23";Tenisové rakety > Dìtské tenisové rakety;;;;"496,80";"1";"1";
"2011/10201";"HEAD Djokovic Monstercombi";Tenisové bagy > Tenisové bagy Head;;;;"1648,80";"1";"1";
"2011/10203";"HEAD Djokovic Backpack";Tenisové bagy > Tenisové bagy Head;;;;"928,80";"1";"0";
"2011/10206";"HEAD Murray Combi";Tenisové bagy > Tenisové bagy Head;;;;"1288,80";"1";"1";
"2011/10601";"Djokovic Dampener";Doplòky > Vibrastopy;;;;"86,40";"1";"1";
"2011/10607-26";"Head Logo II, mix";Doplòky > Vibrastopy;;;;"86,40";"1";"1";
"2011/10607-285";"Head Logo II, bk";Doplòky > Vibrastopy;;;;"86,40";"1";"1";
"2011/15935_187";"HEAD Mojo JR wh/bk/or";Tenisová obuv > Dìtská tenisová obuv;;;;"598,80";"1";"1";
"2011/15935_188";"HEAD Mojo JR wh/bk/or";Tenisová obuv > Dìtská tenisová obuv;;;;"598,80";"1";"1";
"2011/15935_264";"HEAD Mojo JR wh/bk/or";Tenisová obuv > Dìtská tenisová obuv;;;;"598,80";"1";"1";
"2011/15937_147";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_244";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_261";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_262";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15937_263";"HEAD Beat JR wh/bk/ocean";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15939_188";"Orchid Girl wh/d. pk";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15939_266";"Orchid Girl wh/d. pk";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15941_265";"HEAD Monster JR Velcro wh";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"2011/15941_266";"HEAD Monster JR Velcro wh";Tenisová obuv > Dìtská tenisová obuv;;;;"478,80";"1";"1";
"241076/128/130";"Pro Hurricane        12m 1,25";Výplety;;;;"145,00";"1";"1";
"241091/105/125";"RPM Blast 12m 1,25";Výplety;;;;"225,00";"1";"1";
"242091/105/125";"RPM Blast 100m 1,25";Výplety;;;;"1095,00";"1";"1";
"243076/128/130_175";"Pro Hurricane 200m Blue";Výplety;;;;"1450,00";"1";"1";
"243076/128/130_176";"Pro Hurricane 200m Blue";Výplety;;;;"1450,00";"1";"1";
"243091/105/130_175";"Babolat RPM Blast 200m";Výplety;;;;"2145,00";"1";"1";
"243091/105/130_176";"Babolat RPM Blast 200m";Výplety;;;;"2145,00";"1";"1";
